id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes
chant_000572,-titudine,,7,,C2,E-SA 5,2,103r,0.0,,,feast_0475,genre_a,office_l,source_314,,http://cantus.uwaterloo.ca/chant/431133/,-titudine,-titudine | ~Confitemini,1---h--g--g--g--3--l--l--m--l--k--jk---4,
chant_000666,A Christo de caelo vocatus,007123a,1,,,CH-E 611,01,195v,7.0,,,feast_1321,genre_v,office_m,source_564,,http://cantus.uwaterloo.ca/chant/231973/,A Christo de caelo vocatus et in terram prostratus ex persecutore effectus est vas electionis,A xpisto de celo vocatus et in terram prostratus ex persecutore effectus est vas electionis | Qui,1---h---h--hghg-gf---g---g--g---g--gh--g7---g---g---hG--gh---gh--hijh--h---hf---gh--h--h--hk--h---h--hk--h---h---h---hghg--hf--fg-hg-hjh-hgfe--gh--gf---3---f77---3,
chant_000802,A bimatu et infra occidit,001187,1,,D1,D-Mbs Clm 4303,2,082v,1.0,,,feast_1200,genre_a,office_l,source_164,,http://cantus.uwaterloo.ca/chant/372756/,,,1--c--ef-g-g--e--fe-d--dc-f-g,
chant_000981,A dextris est mihi dominus,006002,8,,,D-Mbs Clm 4303,1.3,115r,3.0,,,feast_0500,genre_r,office_m,source_164,,http://cantus.uwaterloo.ca/chant/373048/,,,1--g--gh-jk-k--jkjh-jh--h-k--kjk-hj-hg--h,
chant_001161,A facie furoris tui deus,006003,2,,,D-KA Aug. LX,12,206r,3.0,,,feast_0330,genre_r,office_h,source_414,,http://cantus.uwaterloo.ca/chant/619311/,A facie furoris tui deus conturbata est omnis terra sed tu domine miserere et ne facias consummationem,A facie furoris tui deus conturbata est omnis terra sed tu domine miserere | et ne facias consummationem,1---a---cde--d--d---c--e--d---e--eg---dcd--cdc-cb---cB--c--d--c---dc-cb---df--efgf---egf--eef---c---d---fd-fgh--fed--dc---de--f--dc--bcdcba-ba7---3---a---a---cd--cded--efd---efg--f--gf-fed--fd-efe--defede--fd---4,
chant_001302,A fructu frumenti et vini,200020,2,,D1,CH-Fco 2,1.3,157v,4.0,,,feast_0291,genre_a,office_m,source_477,,http://cantus.uwaterloo.ca/chant/255675/,A fructu frumenti et vini multiplicati fideles in pace Christi requiescunt,A fructu frumenti et vini multiplicati fideles in pace xpisti requiescunt | ~Cum invocarem | euouae,1---df---efd--c---f--ggF--ed---f---gh--h7---ijH--g--hgf--gh--h---d--f--f---h---fg--fed---d--ca---c--cd--d--d---4---c--d--f--f---3---f--f--f--e--c--d7---3,
chant_001621,A porta inferi erue domine,001191,2,,D1,CH-Fco 2,4,108r,3.0,,,feast_1497,genre_a,office_l,source_477,,http://cantus.uwaterloo.ca/chant/255011/,A porta inferi erue domine animam meam,A porta inferi erue domine animam meam | ~Ego dixi | euouae,1---c---cd--fe---d--fe--dc---fg--h--g---fg--f--f---fg--e--fe---d--d---4---c7--d--f--f---3---f--f--f--e--c--d---3,
chant_001794,A saeculo non est auditum,001194,4T,,6,F-Pn lat. 15181,M,258r,1.0,,,feast_0673,genre_a,office_v2,source_447,,http://cantus.uwaterloo.ca/chant/409969/,A saeculo non est auditum quia quis aperuit oculos caeci nati,A seculo non est auditum quia quis aperuit oculos ceci nati | euouae | ~Magnificat,1---g---h--kl--l---kl7---m---l--kl--l---j--l---j---k--h--g--hg7---f--g--h---h--hk---h--h---4---l--k--l--m--k--h---3---l--kl--l7---3,
chant_001847,A se pondus gloriae sibi,600638a,4S,,,CH-Fco 2,01,182v,2.0,,,feast_0080,genre_v,office_m,source_477,,http://cantus.uwaterloo.ca/chant/256223/,A se pondus gloriae sibi temerariae sumere nolebat,A se pondus glorie sibi temerarie sumere nolebat | Tantumdiu,1---e---gh---hhG--fe---gh-kjgh--g--g---eg-gde--c---d--e--f--e--d---fgfh--g--fe---de7--e--e---3---e--d---3,
chant_001925,A solis ortu et occasu,001888a,1,,?,D-KA Aug. LX,01,227v,4.0,,,feast_0007,genre_av,office_x,source_414,,http://cantus.uwaterloo.ca/chant/619659/,A solis ortu et occasu ab aquilone et mari,A solis ortu et occasu ab aquilone et mari,1---f---gh--h---h--h---hk---h--hg--gh---gf---gh--h--hkh--g---f---fff--d7---4,
